0,1
Solana Films,12890.39
Haxan Films,4143.98
Bórd Scannán na hÉireann,139.58
Plunge Pictures LLC,109.37
Evolution Entertainment,86.59
ERBP,77.92
Redwave Films,73.7
View Askew Productions,59.92
Harvest Filmworks,53.69
Conquering Unicorn,52.29
Insurge Pictures,52.27
Too Askew Prod. Inc.,48.09
Big Red Dog Productions,46.51
Asghar Farhadi Productions,45.85
Brothers McMullen Productions,43.81
Wiedemann & Berg Filmproduktion,38.68
Rimfire Films,37.3
Pure Flix Productions,32.34
Desperate Pictures,30.42
Detour Filmproduction,29.28
Alliance Atlantis Communications,28.31
Cinesthesia Productions,27.07
Snoot Entertainment,26.9
Hughes Entertainment,26.48
Aries Cinematográfica Argentina,26.08
Ada Films,25.94
Celador Films,25.23
VAE Productions,24.95
Astral Bellevue Pathé,24.86
Bazelevs Production,24.82
Samuel Goldwyn Films,24.8
FaithStep Films,24.42
Iron Horse Entertainment (II),23.96
Doug Liman Productions,22.78
Northern Lights Films,21.95
Strike Entertainment,21.25
Tonic Films,20.37
Blinding Edge Pictures,19.69
Sailor Bear,19.52
Artists Public Domain,19.39
Forest Whitaker's Significant Productions,19.32
Australian Film Finance Corporation (AFFC),18.72
Tokuma Shoten,18.71
Blow Up Pictures,18.71
FilmDistrict,18.53
Tomboy Films,18.42
Hal Roach Studios,18.21
Great American Films Limited Partnership,18.02
Tornasol Films,17.54
"""Weathering With You"" Film Partners",17.43
Claudie Ossard Productions,17.4
SenArt Films,17.4
Hickmar Productions,17.28
Exclusive Media Group,17.17
Next Entertainment,17.08
Anhelo Producciones,16.81
Atomic Monster,16.62
Gold Circle Films,16.59
Kasdan Pictures,16.44
Mooz Films,16.1
Cherry Sky Films,15.24
Belladonna Productions,15.15
888 Productions,14.96
Night and Day Pictures,14.83
Everyman Pictures,14.59
Beijing Dengfeng International Culture Communications Company,14.58
Strong Heart/Demme Production,14.35
Camelot Pictures,14.33
Illumination Entertainment,14.3
Matchbox Pictures,13.88
Toei Company,13.62
Barunson E&A,13.57
Twisted Pictures,13.49
AVCO Embassy Pictures,12.83
Monkeypaw Productions,12.76
Asia Union Film & Entertainment Ltd.,12.56
Blumhouse Productions,12.52
Open Road Films,12.43
Buena Vista International,12.35
Kevin Downes Productions,12.3
Warner Bros. Pictures,12.12
Depth of Field,12.01
Armory Films,11.77
erbp,11.74
thefyzz,11.74
South Pacific Pictures,11.73
The Mark Gordon Company,11.68
Sikhya Entertainment,11.62
Melampo Cinematografica,11.5
Lee Daniels Entertainment,11.25
Truth Entertainment (II),11.15
Outlaw Productions (I),11.14
Blueprint Pictures,10.99
Atlantic Entertainment Group,10.9
Consejo Nacional para la Cultura y las Artes (CONACULTA),10.87
Cannon International,10.73
Anarchist's Convention Films,10.51
Altavista Films,10.45
Apartment Story,10.44
Cannon Entertainment,10.39
Laurenfilm,10.38
Bazmark Films,10.18
Cort/Madden Productions,10.13
Protagonist Pictures,10.12
Dickhouse Productions,10.12
Parts and Labor,10.11
Hidden Empire Film Group (HEFG),10.11
IFC Films,10.02
Westerly Films,10.0
Cecchi Gori Pictures,9.92
Buena Vista Home Entertainment,9.84
Vertigo Films,9.83
Boies / Schiller Film Group,9.77
The Zanuck Company,9.76
LivePlanet,9.59
Georgetown Productions Inc.,9.58
Barry & Enright Productions,9.39
Hart Sharp Entertainment,9.37
BET Pictures,9.21
Carnival Film & Television,9.17
Lucasfilm,8.96
Lutzus-Brown,8.96
Lumiere Pictures,8.9
Studio 37,8.9
Nibariki,8.74
Cinereach,8.71
Avi Arad Productions,8.56
Dentsu,8.46
Crunk Pictures,8.42
Anabasis N.V.,8.35
Brownstone Productions (II),8.35
Pt. Merantau Films,8.32
Bergman Lustig Productions,8.31
