0,1
Mexico,29.75
Iran,19.07
Lebanon,16.1
Argentina,11.7
Ireland,8.33
Taiwan,7.99
United States,7.49
Israel,7.45
Malta,6.41
Russia,5.67
Indonesia,4.89
Canada,4.8
New Zealand,4.54
Spain,4.46
Japan,4.45
South Africa,4.4
India,4.33
Australia,4.25
Colombia,4.2
South Korea,3.93
Finland,3.55
China,3.39
Jamaica,3.21
United Kingdom,3.13
France,2.69
Sweden,2.65
Hong Kong,2.57
Austria,2.56
Yugoslavia,2.4
United Arab Emirates,2.27
Brazil,2.18
Germany,2.08
Hungary,1.99
Italy,1.95
Norway,1.84
Denmark,1.75
West Germany,1.19
Chile,1.08
Iceland,1.06
Netherlands,0.95
Czech Republic,0.74
Switzerland,0.6
Republic of Macedonia,0.4
Aruba,0.34
Belgium,0.32
Panama,0.25
Kenya,0.17
Portugal,0.16
Thailand,0.03
Federal Republic of Yugoslavia,0.01
