0,1
Oren Peli,12890.39
Daniel Myrick,4143.98
Travis Cluff,429.64
Niall Johnson,109.98
John Pogue,89.18
Aneesh Chaganty,85.75
John Carney,73.89
Levan Gabriadze,62.88
Chris Kentis,58.81
Gérard Krawczyk,50.38
Robert C. Ramirez,46.51
Shane Carruth,44.83
Daniel Stamm,38.57
Bradley Parker,38.39
Joel Zwick,37.81
William Brent Bell,37.68
Peter Cattaneo,37.15
Sean S. Cunningham,36.65
Jordan Peele,34.78
Harold Cronk,32.34
Gregg Araki,30.42
Tod Williams,30.04
Jared Hess,29.85
Alex Kendrick,29.14
Robert Townsend,26.34
James Sbardellati,26.08
Josh Boone,25.6
James Wan,25.17
Robert Rodriguez,24.91
Asghar Farhadi,23.5
Edward Burns,23.27
Tyler Nilson,21.46
Stiles White,20.74
Florian Henckel von Donnersmarck,20.73
Albert Pyun,20.33
Peter Faiman,18.79
Michael Engler,18.3
Fritz Kiersch,18.21
David F. Sandberg,18.16
James DeMonaco,18.03
Juan José Campanella,17.54
Makoto Shinkai,17.43
Howard Avedis,17.28
Adam Robitel,17.05
Darren Lynn Bousman,16.85
Corin Hardy,16.62
Greg McLean,16.55
Henry Joost,16.52
Kevin Smith,16.44
Nadine Labaki,16.1
Jeff Wadlow,16.02
Stephen Susco,16.02
Duncan Tucker,15.15
Neil LaBute,15.04
Adrienne Shelly,14.83
Frant Gwo,14.58
John R. Leonetti,14.43
Kyle Balda,14.3
Peter Farrelly,14.27
Sam Taylor-Johnson,14.24
Sriram Raghavan,13.88
Michael Chaves,13.68
Steve Gordon,13.64
Tatsuya Nagamine,13.62
Todd Field,13.45
Darren Aronofsky,13.28
Roger Allers,13.22
Lynn Shelton,13.21
Joseph Gordon-Levitt,13.15
Justin Baldoni,13.08
Michael Showalter,12.97
Billy Bob Thornton,12.38
Andrew Erwin,12.3
Richard C. Sarafian,12.16
Adam Wingard,12.16
Bradley Cooper,12.12
Andy Muschietti,11.93
Garth Davis,11.74
Benh Zeitlin,11.73
Leigh Whannell,11.7
Michael Tiddes,11.62
Ritesh Batra,11.62
David Gelb,11.62
Roberto Benigni,11.5
Arna Selznick,11.47
Christopher Landon,11.47
David Robert Mitchell,11.1
Irvin Kershner,11.09
Emile Ardolino,11.09
David Lowery,10.87
Newt Arnold,10.73
Damien Chazelle,10.57
David Hackl,10.54
Gerard McMurray,10.54
Sam Firstenberg,10.48
John Krasinski,10.46
Bill Holderman,10.44
Thea Sharrock,10.42
Ryan Coogler,10.34
Phyllida Lloyd,10.33
Pierre Coffin,10.32
Paul Brickman,10.25
Mark Rosman,10.21
John Hughes,10.15
Jeff Tremaine,10.12
Tom Hooper,10.11
Robert Eggers,10.11
Miranda July,10.02
Danny Steinmann,9.97
Mike Cahill,9.94
Elizabeth Banks,9.9
Albert Magnoli,9.76
Morten Tyldum,9.72
Matt Bettinelli-Olpin,9.6
Mark Jones,9.51
Alan Myerson,9.39
Hayao Miyazaki,9.35
Steve Trenbirth,9.32
Steve Bendelack,9.29
Damián Szifron,9.29
Jayson Thiessen,9.28
Martha Coolidge,9.22
Darren Grant,9.21
Bryan Bertino,9.16
Geoffrey Sax,9.12
Kenneth Lonergan,9.07
Amy Heckerling,9.03
Jerry Zucker,9.03
Barry Jenkins,9.03
Scott Derrickson,9.02
Mike Flanagan,8.98
Tom McCarthy,8.96
Richard Glatzer,8.96
Stephen Chbosky,8.94
Michel Hazanavicius,8.9
Maria Maggenti,8.84
Mike Newell,8.78
John Cornell,8.7
Lisa Cholodenko,8.69
Sharon Maguire,8.67
Richard Marquand,8.66
