star,hit rate,작품개수
'Weird Al' Yankovic,1.2314314,1
50 Cent,1.164099025,1
A.J. Cook,3.497735730769231,1
Aaliyah,1.2994031428571429,1
Aamir Khan,0.7136861264516409,1
Aaron Eckhart,20.911425380494506,6
Aaron Paul,3.0799641818181818,1
Aaron Taylor-Johnson,2.6255936607886903,4
Abbie Cornish,0.9136411980392157,2
Abraham Attah,0.0151295,1
Ace Young,0.02016,1
Adam Beach,1.7733775572916666,2
Adam Brody,1.30653405,2
Adam Driver,0.9677982537634409,2
Adam Sandler,3.0751356654855235,28
Adam Scott,4.103247133333333,1
Adelaide Clemens,2.76813525,1
Adrian Grenier,1.6421134666666666,1
Adrian Pasdar,0.6738614,1
Adrien Brody,1.600911298467433,6
Adrienne Barbeau,10.743814222222223,2
Adrienne Shelly,0.5105714285714286,1
Aida Mohammadkhani,6.166266666666667,1
Aidan Quinn,0.7889789,1
Aileen Quinn,1.14127722,1
Akira Terao,0.24751341666666668,1
Al Pacino,1.9898993377553638,20
Alan Arkin,1.656101111111111,1
Alan Boyce,0.236642375,1
Alan Van Sprang,0.0965195,1
Albert Brooks,5.338023883776596,2
Albert Finney,0.6966144852941176,2
Alden Ehrenreich,1.42881748,1
Aldis Hodge,0.4376819,1
Alec Baldwin,1.9019943135048276,10
Alek Skarlatos,1.9025428666666666,1
Alessandro Nivola,0.01351731868131868,2
Alex D. Linz,1.608357376875,2
Alex Kendrick,12.5990813,2
Alex Pettyfer,2.519642357352941,2
Alex Roe,4.678876,1
Alex Veadov,6.874949916666667,1
Alex Vincent,2.7510465384615386,1
Alexa PenaVega,2.7972025804511276,3
Alexander Ludwig,0.7078359777777777,1
Alexander Skarsgård,1.715775676674641,2
Alexandra Daddario,2.3670293,1
Alexis Bledel,1.289641,1
Alexsandra Wright,1.8363530625,1
Alfre Woodard,0.9744900714285715,1
Alice Englert,1.0008689666666666,1
Alicia Silverstone,1.8169563055555555,3
Alicia Vikander,1.9159866488416075,3
Alison Lohman,2.2438304666666666,2
Allen Payne,1.6898723904761905,2
Ally Sheedy,2.07557425625,4
Alyson Hannigan,4.2874517,1
Alyssa Milano,0.40433825,1
Amanda Bynes,1.9048260003030304,3
Amanda Donohoe,0.475726,1
Amanda Schull,0.9098600344827587,1
Amanda Seyfried,1.9115438861904763,4
Amandla Stenberg,2.963684642369991,3
Amber Heard,0.0609275,1
Amber Tamblyn,2.608056935,2
America Ferrera,2.1176393888888887,2
Amy Adams,2.913475616469326,8
Amy Brenneman,0.9429316,1
Amy Irving,4.06560375,1
Amy Landecker,2.767770083333333,1
Amy Poehler,4.968075248957902,3
Amy Schumer,2.8086004700396825,3
Amy Seimetz,11.74348,1
Andie MacDowell,0.20228758333333333,2
Andre Gower,0.3141658333333333,1
