0,1
Oren Peli,6464.39
Daniel Myrick,2073.58
Chris Lofing,429.64
Chris Kentis,109.37
Craig Rosenberg,89.18
Aneesh Chaganty,85.75
John Carney,73.89
Nelson Greaves,62.88
Michael R. Perry,59.17
Richard Russo,55.98
William Brent Bell,52.83
Dom Irrera,52.29
Andrew Lane,49.55
Shane Carruth,44.83
Nia Vardalos,39.4
Jared Hess,39.4
Huck Botko,38.57
Eleanor Bergstein,35.76
Hunter Dennis,32.34
Greg McLean,30.89
Gregg Araki,30.42
Leigh Brackett,29.91
Robert Rodriguez,29.2
Leigh Whannell,29.18
Alex Kendrick,29.14
Neil LaBute,28.57
David Seidler,28.49
Michael Reisz,27.24
Simon Beaufoy,26.58
Andre Dubus,26.33
Scott Lobdell,26.14
Howard R. Cohen,26.08
Lynn Shelton,25.94
Melissa Mathison,25.7
Mark Heyman,25.34
Mark Rosman,24.95
Irene Mecchi,24.08
Alan Ball,23.75
Jordan Peele,23.65
Asghar Farhadi,23.5
Bob Clark,23.4
Edward Burns,23.27
Thomas Hedley Jr.,23.23
Peter Barsocchini,22.99
James Dearden,22.87
Victor Miller,22.83
Matt Damon,22.59
Tyler Nilson,21.46
Gary Dauberman,21.1
Florian Henckel von Donnersmarck,20.73
Bryan Woods,20.61
Thom Eberhardt,20.6
Benedict Fitzgerald,20.4
Albert Pyun,20.33
Chase Palmer,20.05
Alfred Uhry,19.44
Michael Blake,19.28
James R. Silke,18.81
Gary Brandner,17.99
Kevin Smith,17.9
Anne Fine,17.65
Eduardo Sacheri,17.54
Makoto Shinkai,17.43
Guillaume Laurant,17.4
Jeff Wadlow,17.38
Howard Avedis,17.28
Carlos Cuarón,16.81
Graham Moore,16.68
Jim Cash,16.54
Nadine Labaki,16.1
Reid Carolin,15.96
Drake Doremus,15.41
Michael Fallon,15.29
Coline Serreau,15.25
Ernesto Foronda,15.24
Duncan Tucker,15.15
Damien Chazelle,14.96
Adrienne Shelly,14.83
Laura Terruso,14.66
Thomas Keneally,14.64
Darren Aronofsky,14.63
Gong Geer,14.58
Billy Bob Thornton,14.45
Zach Braff,14.33
Barry Morrow,14.19
Paul Hogan,14.14
Richard Curtis,14.09
Nick Vallelonga,13.99
Christopher Landon,13.88
Arijit Biswas,13.88
Steve Gordon,13.64
Akira Toriyama,13.62
Larry McMurtry,13.55
Murray Salem,13.46
Juliet Snowden,13.42
Mikki Daughtry,13.38
Joseph Gordon-Levitt,13.15
Barbara Curry,13.11
Martin Kitrosser,12.96
Stephen Susco,12.76
Tom Vaughan,12.58
Hui-Ling Wang,12.56
Daniel Petrie Jr.,12.34
Winston Groom,12.33
Bart Millard,12.3
Scotty Landes,12.22
Simon Barrett,12.16
Chad Hayes,12.03
Timur Bekmambetov,11.98
Scott Derrickson,11.92
Willard Huyck,11.9
Joel Edgerton,11.8
Catherine Johnson,11.75
Adam Herz,11.74
Saroo Brierley,11.74
Johannes Roberts,11.74
Niki Caro,11.73
Lucy Alibar,11.73
Rowan Atkinson,11.62
Marlon Wayans,11.62
Ritesh Batra,11.62
Marc Norman,11.57
Ron Kovic,11.5
Vincenzo Cerami,11.5
Peter Sauder,11.47
Avi Kleinberger,11.43
Amy Heckerling,11.31
Rhett Reese,11.29
Emily V. Gordon,11.28
Milo Addica,11.25
Craig Borten,11.15
James DeMonaco,11.13
David Robert Mitchell,11.1
Lynn Siefert,11.06
Laura Esquivel,10.87
David Lowery,10.87
Fannie Flagg,10.86
Jeff Arch,10.85
Fede Alvarez,10.84
Gene Stupnitsky,10.81
Daniel G. Sullivan,10.71
Ben Lewin,10.66
J.R.R. Tolkien,10.64
Brian Lynch,10.53
Paul De Mielche,10.5
Bill Holderman,10.44
Jojo Moyes,10.42
Richard Linklater,10.36
Ryan Coogler,10.34
Patricia Resnick,10.33
Steven Soderbergh,10.33
Anthony McCarten,10.27
Todd Phillips,10.18
Gareth Edwards,10.12
Johnny Knoxville,10.12
Robert Eggers,10.11
Deon Taylor,10.11
Scott Turow,10.06
Miranda July,10.02
Heather Juergensen,10.01
David Chaskin,10.0
Lawrence Kasdan,9.95
Mike Cahill,9.94
Eric Heisserer,9.87
Brock Norman Brock,9.83
Mark DiSalle,9.8
Bragi F. Schut,9.79
Melissa Rosenberg,9.78
Kenji Bando,9.77
Albert Magnoli,9.76
Andy Muschietti,9.76
Kirk Jones,9.6
Guy Busick,9.6
J.F. Lawton,9.56
Michael Berg,9.54
Mitch Markowitz,9.53
Allison Schroeder,9.45
Ron Kurz,9.39
Bert V. Royal,9.38
Hayao Miyazaki,9.35
Juliette Towhidi,9.34
Karl Geurs,9.32
Germán Servidio,9.29
Meghan McCarthy,9.28
Douglas Day Stewart,9.23
Nancy Price,9.21
Eli Roth,9.14
Judith Guest,9.13
Niall Johnson,9.12
M. Night Shyamalan,9.06
Barry Jenkins,9.03
Christopher Murphey,8.98
Mike Flanagan,8.98
Richard Glatzer,8.96
Arthur Silver,8.95
Oliver Stone,8.94
Michel Hazanavicius,8.9
Kristen Wiig,8.87
Ed Decter,8.86
Bong Joon Ho,8.86
Luke Dawson,8.85
Kelly Marcel,8.8
John Carpenter,8.77
Lisa Cholodenko,8.69
Tate Taylor,8.67
Diane Thomas,8.66
Michael Arndt,8.65
Toni Ann Johnson,8.63
Michael Ondaatje,8.59
Matt Drake,8.56
Jeff Pinkner,8.56
Matt Lieberman,8.49
Michael Palin,8.47
Dick King-Smith,8.47
Nicole Eastman,8.47
Garth Jennings,8.46
Don McGuire,8.44
Dax Shepard,8.41
Ilya Naishuller,8.41
Steve Coogan,8.34
Rodney Dangerfield,8.3
Fabián Bielinsky,8.28
Gustavo Hernández,8.26
Rick Jaffa,8.16
Lee Hall,8.15
Pen Densham,8.14
Luke Greenfield,8.13
Jeff Stockwell,8.09
David Engelbach,8.05
Mary Rodgers,8.04
Henry Gilroy,8.03
Helen Fielding,7.99
Scott Stewart,7.96
Scott Neustadter,7.95
Peter Chiarelli,7.94
Edward Tang,7.85
Julian Fellowes,7.85
Ron Clements,7.84
Tom McCarthy,7.83
LouAnne Johnson,7.81
A L Katz,7.76
Shawn Wayans,7.76
Luc Besson,7.74
Kevin DiCicco,7.71
Bob Israel,7.69
Sofia Coppola,7.69
Keith Walker,7.68
Jon Favreau,7.68
Bryan Bertino,7.68
Diablo Cody,7.67
Brent Goldberg,7.66
Rosalind Wiseman,7.65
Paul Harris Boardman,7.64
Michael Kane,7.62
Susan Hill,7.59
John Lee Hancock,7.58
John Hughes,7.52
Amanda Silver,7.52
Analisa LaBianco,7.46
Ari Folman,7.45
Bob Fisher,7.45
Cinco Paul,7.44
Kyle Hunter,7.41
Stacey Menear,7.39
Jim Abrahams,7.37
Josh Campbell,7.35
Karen Blixen,7.34
Jeffrey Boam,7.32
Robert Zemeckis,7.32
Patty Jenkins,7.31
Antonio Skármeta,7.3
Reginald Hudlin,7.22
Steven Spielberg,7.21
Steve Faber,7.21
Jonathan Herman,7.2
Duane Adler,7.19
Bo Burnham,7.17
William Steig,7.16
Jack Bernstein,7.12
Dan Futterman,7.05
Jack Engelhard,7.02
Olivia Goldsmith,6.98
Ol Parker,6.97
Spike Lee,6.94
Kay Cannon,6.94
Ang Lee,6.93
Stefan Zweig,6.92
Debra Granik,6.9
Sean Baker,6.89
Steve Franks,6.87
Rex Pickett,6.86
Daryl Haney,6.85
Pedro Almodóvar,6.85
Niall Leonard,6.85
Jim Lovell,6.83
Brian Nelson,6.83
Byron Howard,6.83
Phil Hartman,6.82
Andrew Jay Cohen,6.82
Michael Rasmussen,6.78
Dick Randall,6.77
Stu Krieger,6.76
Paul Guay,6.73
John R. Cherry III,6.72
Nichole Millard,6.72
Kevin Eastman,6.71
Dan Greenburg,6.7
Joshua Cordes,6.7
Annie Proulx,6.68
Henry De Vere Stacpoole,6.67
Johnny Cash,6.67
Ari Aster,6.67
Ryan Fleck,6.66
Greta Gerwig,6.66
Stephen Chbosky,6.64
Derek Cianfrance,6.63
Genndy Tartakovsky,6.61
Domonic Muir,6.58
Roger Spottiswoode,6.57
Menno Meyjes,6.56
Jerry Zucker,6.56
Jan Sardi,6.55
Jennifer Lee,6.51
Nicole Holofcener,6.48
Steve Box,6.47
Christine Leunens,6.45
James Cameron,6.42
Deborah Davis,6.39
Geoffrey Fletcher,6.36
Chris Stokes,6.32
Carl Binder,6.29
Michael Goldenberg,6.28
Dana Fox,6.27
Charlie Wachtel,6.23
Gregory McDonald,6.19
Greg Coolidge,6.18
W. Bruce Cameron,6.18
Andrew Kevin Walker,6.17
Abbas Kiarostami,6.17
J.K. Rowling,6.16
Linda Woolverton,6.15
Tom Flynn,6.15
Joanne Harris,6.11
Leora Barish,6.09
David Morrell,6.06
William Davies,6.05
Maria Maggenti,6.05
Timothy Harris,6.03
Anna Hamilton Phelan,6.03
Douglas J. Eboch,6.02
Jamie Uys,6.01
Michael Markowitz,6.0
Jean Poiret,5.98
Elizabeth Meriwether,5.97
Justin Lader,5.97
Richard Epcar,5.96
Thomas Lee Wright,5.95
Jonathan Bernstein,5.95
Robert Smigel,5.94
Colin Welland,5.92
Willie Morris,5.92
Jason Filardi,5.91
Danny Strong,5.91
A.B. 'Banjo' Paterson,5.9
Tom O'Connor,5.89
David N. Weiss,5.87
Robert Vincent O'Neil,5.83
George Tillman Jr.,5.83
Chris Marker,5.82
Michael Robert Johnson,5.82
George Zaloom,5.81
Robert Adetuyi,5.81
Kimberly Peirce,5.77
Hu Guan,5.77
Joseph Oriolo,5.76
Temple Mathews,5.76
Brad Bird,5.75
William Kelley,5.73
Alejandro G. Iñárritu,5.73
Feng Li,5.72
Chris McKenna,5.71
Tom Gormican,5.71
Heywood Gould,5.7
Quentin Tarantino,5.7
Christy Beam,5.69
Boots Riley,5.68
Whit Stillman,5.66
Paul Brickman,5.64
Bruce Joel Rubin,5.64
Ross LaManna,5.64
Tom Rowe,5.63
Philip Stark,5.63
R. Lee Fleming Jr.,5.61
Jon Vitti,5.61
Rob Perez,5.6
Alexi Kaye Campbell,5.6
Mindy Kaling,5.6
Neal Israel,5.59
Abi Morgan,5.59
Brian Sieve,5.59
John O'Brien,5.58
Max Joseph,5.56
Lee Eisenberg,5.55
Allan Heinberg,5.52
Ice Cube,5.5
Richard Fire,5.49
John Lasseter,5.48
J. Mackye Gruber,5.47
Ken Li,5.46
Courtney Hunt,5.46
Erica Rivinoja,5.46
Seth MacFarlane,5.45
Rawson Marshall Thurber,5.43
Paul King,5.42
Rocky Russo,5.41
Bram Stoker,5.4
George Clooney,5.39
Rob Sprackling,5.39
Jon Lucas,5.38
Carlos Saldanha,5.38
Sacha Baron Cohen,5.36
Susan Shilliday,5.35
Amanda Brown,5.33
Neil Burger,5.33
Edgar Wright,5.33
Mark Jones,5.32
Kenneth Lonergan,5.32
Matt Greenberg,5.32
Kevin James,5.32
Jay Huguely,5.31
Kevin Bisch,5.31
Amy Andelson,5.31
George Clayton Johnson,5.3
Alejandro Amenábar,5.3
Daniel P. Mannix,5.29
Rian Johnson,5.29
Nat Faxon,5.29
John Musker,5.28
Sylvester Stallone,5.27
Richard D'Ovidio,5.27
Brian Miller,5.25
Danilo Bach,5.23
John D. MacDonald,5.21
Jenny Bicks,5.21
Roger Swaybill,5.19
Allen Hughes,5.19
Majid Majidi,5.19
Dan Berendsen,5.18
Stephen Belber,5.16
Jesse Peretz,5.16
Jennifer Kent,5.16
Peter Farrelly,5.15
Eric Darnell,5.15
Jim Garrison,5.14
Will Reiser,5.14
Josh A. Cagan,5.14
Michael J. Wilson,5.13
Paul Weitz,5.12
Shonda Rhimes,5.1
Kurt Johnstad,5.1
Patrick Melton,5.09
Yann Martel,5.08
Keith Merryman,5.07
Roderick Thorp,5.06
Gerry Conlon,5.06
Catherine Hardwicke,5.06
John Erick Dowdle,5.06
Noah Oppenheim,5.06
Brian Grazer,5.03
Martin McDonagh,5.03
Barry Schneider,5.02
Amy Holden Jones,5.0
William Dear,5.0
Peter Lord,5.0
John Carl Buechler,4.96
Christopher Nolan,4.96
Satoshi Tajiri,4.96
Josh Stolberg,4.96
Len Blum,4.94
Aaron Butler,4.92
Melissa K. Stack,4.92
David Simkins,4.91
Jason Hall,4.9
Randall Wallace,4.89
Gareth Evans,4.89
Tom Benedek,4.88
Michael G. Wilson,4.88
Mike Myers,4.88
T.S. Nowlin,4.88
Darcey Bell,4.88
Danny Rubin,4.87
Lowell Cunningham,4.87
Meg Cabot,4.87
Brian Gunn,4.86
Brian Burns,4.86
Kim Henkel,4.83
Wes Craven,4.81
George Lucas,4.81
Dean Devlin,4.81
Michael McDowell,4.8
Will McRobb,4.8
Andrew Stanton,4.79
Lisa Addario,4.79
Luis Valdez,4.78
Bruce Geller,4.78
Angelo Pizzo,4.77
Marcia Brandwynne,4.77
Olatunde Osunsanmi,4.77
Stephen Chow,4.76
Frank B. Gilbreth Jr.,4.76
Peter Craig,4.76
Louis Venosta,4.75
Alex Garland,4.75
Leigh Chapman,4.74
Steven McKay,4.74
